title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
Sách - Ngày tận thế: Lời tiên tri về tương lai và thế giới (Nhã Nam HCM),154.980 ₫,https://www.lazada.vn/products/sach-ngay-tan-the-loi-tien-tri-ve-tuong-lai-va-the-gioi-nha-nam-hcm-i2473077378.html,1,1,18% Off,Hồ Chí Minh,lazada,book,1,Official
Sách Muốn Thành Công Nói Không Với Trì Hoãn: 21 Nguyên Tắc Vàng Đập Tan Sự Trì Hoãn - BIZBOOKS,72.000 ₫,https://www.lazada.vn/products/sach-muon-thanh-cong-noi-khong-voi-tri-hoan-21-nguyen-tac-vang-dap-tan-su-tri-hoan-bizbooks-i1828128999.html,2,2,25% Off,"39 Đã bán
(6)
Hà Nội",lazada,book,2,Official
"Sách - Fly me to the moon tập 1 - Tóm lại là em dễ thương, được chưa (tập 1)",50.000 ₫,https://www.lazada.vn/products/sach-fly-me-to-the-moon-tap-1-tom-lai-la-em-de-thuong-duoc-chua-tap-1-i1922196783.html,3,3,9% Off,"93 Đã bán
(33)
Hà Nội",lazada,book,3,
Sách - Tĩnh Lặng - Thaihabooks,52.440 ₫,https://www.lazada.vn/products/sach-tinh-lang-thaihabooks-i622386875.html,4,4,24% Off,"355 Đã bán
(59)
Hồ Chí Minh",lazada,book,4,Official
Sách - The Outsider - Kẻ Song Trùng - Stephen King,237.300 ₫,https://www.lazada.vn/products/sach-the-outsider-ke-song-trung-stephen-king-i2280952008.html,5,5,30% Off,"24 Đã bán
(8)
Hồ Chí Minh",lazada,book,5,Official
Sách Chuẩn Bị Bài Nói Chuyện Từ Trang Giấy Trắng,102.000 ₫,https://www.lazada.vn/products/sach-chuan-bi-bai-noi-chuyen-tu-trang-giay-trang-i2616873658.html,6,6,,"(1)
Hà Nội",lazada,book,6,Official
Sách - Thư cho em (Hoàng Nam Tiến) (Nhã Nam HCM),114.800 ₫,https://www.lazada.vn/products/sach-thu-cho-em-hoang-nam-tien-nha-nam-hcm-i2596980837.html,7,7,18% Off,"58 Đã bán
(6)
Hồ Chí Minh",lazada,book,7,Official
Sách - Kỷ luật bản thân,132.300 ₫,https://www.lazada.vn/products/sach-ky-luat-ban-than-i1945478952.html,8,8,30% Off,"127 Đã bán
(27)
Hà Nội",lazada,book,8,Official
Sách NXB Trẻ - NHỮNG BỨC DI THƯ THÀNH CỔ,104.000 ₫,https://www.lazada.vn/products/sach-nxb-tre-nhung-buc-di-thu-thanh-co-i2003911865.html,9,9,20% Off,"17 Đã bán
(2)
Đà Nẵng",lazada,book,9,
Sách -Luật Tâm Thức,70.000 ₫,https://www.lazada.vn/products/sach-luat-tam-thuc-i2212574113.html,10,10,50% Off,"118 Đã bán
(28)
Hà Nội",lazada,book,10,
Sách - Liễu phàm tứ huấn - Thaihabooks,44.840 ₫,https://www.lazada.vn/products/sach-lieu-pham-tu-huan-thaihabooks-i622412410.html,11,11,24% Off,"463 Đã bán
(76)
Hồ Chí Minh",lazada,book,11,Official
Sống Đơn Giản Cho Mình Thanh Thản,64.600 ₫,https://www.lazada.vn/products/song-don-gian-cho-minh-thanh-than-i451990233.html,12,12,24% Off,"204 Đã bán
(38)
Hồ Chí Minh",lazada,book,12,Official
Sách - Quân Vương (Nhã Nam HCM),55.760 ₫,https://www.lazada.vn/products/sach-quan-vuong-nha-nam-hcm-i1940145457.html,13,13,18% Off,"161 Đã bán
(47)
Hồ Chí Minh",lazada,book,13,Official
[HCM]Bồi Dưỡng Học Sinh Giỏi Tiếng Anh Lớp 9 Theo Chuyên Đề,67.000 ₫,https://www.lazada.vn/products/hcmboi-duong-hoc-sinh-gioi-tieng-anh-lop-9-theo-chuyen-de-i631206746.html,14,14,38% Off,"20 Đã bán
(4)
Hồ Chí Minh",lazada,book,14,Official
