title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
MacBook Air 2020 13.3 inches M1- Hàng Chính Hãng,17.990.000 ₫,https://www.lazada.vn/products/macbook-air-2020-133-inches-m1-hang-chinh-hang-i1040858590.html,https://img.lazcdn.com/g/p/2f355b8fefe28b9c49808cf7943c375c.png_400x400q75.png_.webp,1,1,38% Off,"2.9K Đã bán
(652)
Bắc Ninh",lazada,computerandlaptop,1,1
Máy Chơi Game ASUS ROG Ally RC71L Ryzen Z1 Extreme - Trắng (RC71L-NH001W) - Bảo hành 24 tháng,17.039.000 ₫,https://www.lazada.vn/products/may-choi-game-asus-rog-ally-rc71l-ryzen-z1-extreme-trang-rc71l-nh001w-bao-hanh-24-thang-i2413437058.html,https://img.lazcdn.com/g/p/ad55c4c585bc2406919e26811ed3748f.jpg_400x400q75.jpg_.webp,2,2,5% Off,Hồ Chí Minh,lazada,computerandlaptop,2,1
MacBook Air M3 13.6 inch 2024 - Hàng Chính Hãng,27.390.000 ₫,https://www.lazada.vn/products/macbook-air-m3-136-inch-2024-hang-chinh-hang-i2624810618.html,https://img.lazcdn.com/g/p/6ca7c98d6d1dc8057f5e9ffe541ca6aa.jpg_400x400q75.jpg_.webp,3,3,2% Off,"6 Đã bán
Hồ Chí Minh",lazada,computerandlaptop,3,1
Máy tính xách tay/ Laptop HP Victus 16-e1106AX (7C0T1PA) (AMD Ryzen 5 6600H) (Đen),21.329.000 ₫,https://www.lazada.vn/products/may-tinh-xach-tay-laptop-hp-victus-16-e1106ax-7c0t1pa-amd-ryzen-5-6600h-den-i2184241552.html,https://img.lazcdn.com/g/p/24dc3734c2bb07229f955e309041ec8e.jpg_400x400q75.jpg_.webp,4,4,19% Off,Hồ Chí Minh,lazada,computerandlaptop,4,1
Máy Tính HP Probook 450 G5 Intel Core i5 8250U/RAM 16GB/SSD 256GB/15.6 inch FullHD,6.900.000 ₫,https://www.lazada.vn/products/may-tinh-hp-probook-450-g5-intel-core-i5-8250uram-16gbssd-256gb156-inch-fullhd-i2049010537.html,https://img.lazcdn.com/g/p/9600c4061425105d7b68045e3d31c079.jpg_400x400q75.jpg_.webp,5,5,,"123 Đã bán
(52)
Hà Nội",lazada,computerandlaptop,5,0
"Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6"" FHD/Win 11",16.990.000 ₫,https://www.lazada.vn/products/laptop-lenovo-ideapad-slim-3-15irh8-i7-13620h16gb512gb156-fhdwin-11-i2630322947.html,https://img.lazcdn.com/g/p/f3b4f8d09962d34f9ec7ac9d118b6c69.jpg_400x400q75.jpg_.webp,6,6,8% Off,Hồ Chí Minh,lazada,computerandlaptop,6,1
"Laptop Gaming Asus GL552JX Core i7/Ram 8Gb/Ổ 1000Gb/Card GTX950 4Gb Chơi game , làm đồ hoạ mượt mà",8.300.000 ₫,https://www.lazada.vn/products/laptop-gaming-asus-gl552jx-core-i7ram-8gbo-1000gbcard-gtx950-4gb-choi-game-lam-do-hoa-muot-ma-i2114433994.html,https://img.lazcdn.com/g/p/308153dc2aa895e638a4a59d36292b1a.jpg_400x400q75.jpg_.webp,7,7,,"46 Đã bán
(5)
Hà Nội",lazada,computerandlaptop,7,0
[Voucher 12% max 3TR] Laptop HP Victus 15-fa0115TX (7C0X1PA) (i5-12500H) (Đen) - Bảo hành 12 tháng,17.589.000 ₫,https://www.lazada.vn/products/voucher-12-max-3tr-laptop-hp-victus-15-fa0115tx-7c0x1pa-i5-12500h-den-bao-hanh-12-thang-i2316259426.html,https://img.lazcdn.com/g/p/5003acd4388a1463012891e1aa2c4dcc.jpg_400x400q75.jpg_.webp,8,8,35% Off,"(1)
Hồ Chí Minh",lazada,computerandlaptop,8,1
Máy tính xách tay/ Laptop HP Probook 450 G9 (6M0Z9PA) (i7-1255U) (Bạc) - Bảo hành 12 tháng,26.609.000 ₫,https://www.lazada.vn/products/may-tinh-xach-tay-laptop-hp-probook-450-g9-6m0z9pa-i7-1255u-bac-bao-hanh-12-thang-i2394117400.html,https://img.lazcdn.com/g/p/033b5e5aa3288bb04ae6603b2ccbefba.jpg_400x400q75.jpg_.webp,9,9,1% Off,Hồ Chí Minh,lazada,computerandlaptop,9,1
Laptop AMD A4 4300 A6 4400 A8 4500 A10 4600 CPU Phiên Bản Chính Thức Lenovo,151.000 ₫,https://www.lazada.vn/products/laptop-amd-a4-4300-a6-4400-a8-4500-a10-4600-cpu-phien-ban-chinh-thuc-lenovo-i2524401227.html,https://img.lazcdn.com/g/ff/kf/S814f8cd440f24e5b95bc0ae3385e488ax.jpg_400x400q75.jpg_.webp,10,10,74% Off,Nước ngoài,lazada,computerandlaptop,10,0
