title,price,link_item,index_,discount_idx,discount_percent_list,countReviews
Điện Thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,4.690.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,1,1.0,6% Off,"343 Đã bán
(41)
Hồ Chí Minh"
[ VOUCHER ] Bão siêu khủng - Nhận IPhone 13 Promax 256Gb E - Sticker,29.000 ₫,https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,2,,,"26 Đã bán
(24)
Hồ Chí Minh"
Nokia 110 DS Pro 4G,720.000 ₫,https://www.lazada.vn/products/nokia-110-ds-pro-4g-i2473551544.html,3,,,"6 Đã bán
(2)
Hồ Chí Minh"
[ VOUCHER ] - Nhận IPhone 14 Promax 1TB E - Sticker - Số lượng có hạn,29.000 ₫,https://www.lazada.vn/products/voucher-nhan-iphone-14-promax-1tb-e-sticker-so-luong-co-han-i2632307418.html,4,,,"28 Đã bán
(21)
Hồ Chí Minh"
iPhone 15 Plus - Hàng Chính Hãng VN/A,22.390.000 ₫,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html,5,5.0,14% Off,"641 Đã bán
(130)
Hồ Chí Minh"
Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HHZ - Hàng Chính Hãng - Bảo hành 13 Tháng,3.849.000 ₫,https://www.lazada.vn/products/dien-thoai-tecno-pova-5-88128gb-mediatek-g99-sac-nhanh-45w-68-fhd-tan-so-quet-120hhz-hang-chinh-hang-bao-hanh-13-thang-i2348140185.html,6,6.0,14% Off,"1.2K Đã bán
(540)
Hồ Chí Minh"
iPhone 13 - Hàng Chính Hãng VN/A,13.890.000 ₫,https://www.lazada.vn/products/iphone-13-hang-chinh-hang-vna-i1525577176.html,7,7.0,44% Off,"4.7K Đã bán
(980)
Hồ Chí Minh"
[SIÊU SALE] - lPHONE 13 PROMAX 512 GB FULL BOX - ( QUẦ TẶNG ),29.000 ₫,https://www.lazada.vn/products/sieu-sale-lphone-13-promax-512-gb-full-box-qua-tang-i2633371001.html,8,,,"204 Đã bán
(87)
Hồ Chí Minh"
"Điện Thoại ZTE Blade V40 (6+4)GB/128GB - Pin 5000mAh - 6.67""FHD+ - Hàng Chính Hãng",2.260.000 ₫,https://www.lazada.vn/products/dien-thoai-zte-blade-v40-64gb128gb-pin-5000mah-667fhd-hang-chinh-hang-i2621627169.html,9,9.0,16% Off,"(1)
Hồ Chí Minh"
[SIÊU KHỦNG] - lPHONE 14 PROMAX 256 GB FULL BOX - ( QUẦ TẶNG ),29.000 ₫,https://www.lazada.vn/products/sieu-khung-lphone-14-promax-256-gb-full-box-qua-tang-i2625006060.html,10,,,"470 Đã bán
(191)
Hồ Chí Minh"
Apple iPhone 15 Pro Max 256GB Chính hãng VN/A [Viettel Store],30.690.000 ₫,https://www.lazada.vn/products/apple-iphone-15-pro-max-256gb-chinh-hang-vna-viettel-store-i2416609251.html,11,11.0,14% Off,"76 Đã bán
(10)
Hà Nội"
"Điện thoại thông minh POCO C65 | 6.74"" HD+ 90Hz | Helio G85 | 5000mAh",2.520.000 ₫,https://www.lazada.vn/products/dien-thoai-thong-minh-poco-c65-674-hd-90hz-helio-g85-5000mah-i2438761122.html,12,12.0,18% Off,"8.4K Đã bán
(1514)
Hồ Chí Minh"
iPhone 15 Pro Max - Hàng Chính Hãng VN/A,30.290.000 ₫,https://www.lazada.vn/products/iphone-15-pro-max-hang-chinh-hang-vna-i2417233670.html,13,13.0,13% Off,"10.2K Đã bán
(2426)
Hồ Chí Minh"
[SALE ĐẬM CHỈ 10.5][TẶNG Watch6 + Powerbank] Điện thoại Samsung Galaxy Z Flip5 - Điện thoại AI - Bản lề Flex gập không kẽ hở - Flex Cam đa góc độ,21.990.000 ₫,https://www.lazada.vn/products/sale-dam-chi-105tang-watch6-powerbank-dien-thoai-samsung-galaxy-z-flip5-dien-thoai-ai-ban-le-flex-gap-khong-ke-ho-flex-cam-da-goc-do-i2351112090.html,14,14.0,27% Off,"2.1K Đã bán
(436)
Hồ Chí Minh"
"Oppo R15x - điện thoại Oppo R15x 2sim ram 8G/512G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",549.000 ₫,https://www.lazada.vn/products/oppo-r15x-dien-thoai-oppo-r15x-2sim-ram-8g512g-may-chinh-hang-luot-wed-tiktok-facebook-youtube-chat-bao-hanh-12-thang-i2320292960.html,15,15.0,45% Off,"55 Đã bán
(49)
Hồ Chí Minh"
[Bảo Hành 12 Tháng] Điện Thoại Nokia 110/4G 2 Sim Loa To Sóng Khỏe Full Box,255.360 ₫,https://www.lazada.vn/products/bao-hanh-12-thang-dien-thoai-nokia-1104g-2-sim-loa-to-song-khoe-full-box-i2421997227.html,16,,,"8 Đã bán
(3)
Hà Nội"
[SIÊU KHỦNG] - lPHONE 14 PROMAX - 1TB - QUÀ TẶNG FULL BOX,29.000 ₫,https://www.lazada.vn/products/sieu-khung-lphone-14-promax-1tb-qua-tang-full-box-i2634526905.html,17,,,"39 Đã bán
(6)
Hồ Chí Minh"
"Sim Vietnamobile 2023 Hạn 1Tháng - Tạo Tài Khoản ZL,SP,FB,MMO,GAME (Không 4G)",14.500 ₫,https://www.lazada.vn/products/sim-vietnamobile-2023-han-1thang-tao-tai-khoan-zlspfbmmogame-khong-4g-i2161322278.html,18,,,"1.9K Đã bán
(145)
Hồ Chí Minh"
iPhone 15 Pro - Hàng Chính Hãng VN/A,25.490.000 ₫,https://www.lazada.vn/products/iphone-15-pro-hang-chinh-hang-vna-i2417249565.html,19,19.0,12% Off,"1.7K Đã bán
(322)
Hồ Chí Minh"
Điện Thoại 6s Blus bản Q-Tế cài game nặng và ứng dụng.Lắp sim.BH 12 Tháng,1.200.000 ₫,https://www.lazada.vn/products/dien-thoai-6s-blus-ban-q-te-cai-game-nang-va-ung-dunglap-simbh-12-thang-i2415107929.html,20,20.0,20% Off,"7 Đã bán
(3)
Nam Định"
iPhone 14 - Hàng Chính Hãng VN/A,16.990.000 ₫,https://www.lazada.vn/products/iphone-14-hang-chinh-hang-vna-i2018265056.html,21,21.0,32% Off,"943 Đã bán
(121)
Hồ Chí Minh"
oppo neo 5 ( a31 ) ram 1gb bộ nhớ 8gb-16gb giá rẻ,259.000 ₫,https://www.lazada.vn/products/oppo-neo-5-a31-ram-1gb-bo-nho-8gb-16gb-gia-re-i1452697362.html,22,22.0,4% Off,"137 Đã bán
(26)
Nam Định"
[E - VOUCHER] lPHONE 13 PROMAX 256GB FULL BOX - QUÀ TẶNG - SỰ KIỆN,29.000 ₫,https://www.lazada.vn/products/e-voucher-lphone-13-promax-256gb-full-box-qua-tang-su-kien-i2633280685.html,23,23.0,42% Off,"45 Đã bán
(24)
Hồ Chí Minh"
"điện thoại Samsung Galaxy J7 Pro 2sim ram 3G/32G mới, màn hình 5.5inch, Chiến PUBG/Liên Quân Chất",799.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-j7-pro-2sim-ram-3g32g-moi-man-hinh-55inch-chien-pubglien-quan-chat-i2281733231.html,24,,,"15 Đã bán
(7)
Hồ Chí Minh"
"Điện Thoại ĨP 6 PIus bản Q-Tế lắp sim,cài đầy đủ game và ứng dụng.Bảo hành 12 Tháng",895.000 ₫,https://www.lazada.vn/products/dien-thoai-ip-6-pius-ban-q-te-lap-simcai-day-du-game-va-ung-dungbao-hanh-12-thang-i2415113798.html,25,25.0,31% Off,"20 Đã bán
(8)
Nam Định"
