title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
ASUS Factory 2024 All-in-One High-end Surface Core i7/i3 Machine Free Wireless Keyboard and Mouse RAM16GB+512GB SSD All-in-One Desktop Computer 1080P Eye Protection 2800R HDMI/VGA DCR Gaming Monitor 75Hz MVA FHD meets Windows 10/11,7.988.999 ₫,https://www.lazada.vn/products/asus-factory-2024-all-in-one-high-end-surface-core-i7i3-machine-free-wireless-keyboard-and-mouse-ram16gb512gb-ssd-all-in-one-desktop-computer-1080p-eye-protection-2800r-hdmivga-dcr-gaming-monitor-75hz-mva-fhd-meets-windows-1011-i2199886331.html,https://img.lazcdn.com/g/p/31d83c9585c33b4e623c0097ae109edd.jpg_400x400q75.jpg_.webp,1,1,27% Off,"5 Đã bán
(2)
Hồ Chí Minh",lazada,computerandlaptop,computer,1,0
Lenovo Factory Thương hiệu mới: Màn hình lớn Heovose HD 24 inch AIO520 ram 16GB SSD 512GB Máy chơi game màn hình cong Tất cả trong một Máy tính để bàn PC cho doanh nghiệp cài đặt sẵn Windows 10/11 chính hãng và MS Office,9.699.999 ₫,https://www.lazada.vn/products/lenovo-factory-thuong-hieu-moi-man-hinh-lon-heovose-hd-24-inch-aio520-ram-16gb-ssd-512gb-may-choi-game-man-hinh-cong-tat-ca-trong-mot-may-tinh-de-ban-pc-cho-doanh-nghiep-cai-dat-san-windows-1011-chinh-hang-va-ms-office-i2034557394.html,https://img.lazcdn.com/g/p/23c6ed2a0111770bc5a8630da54cc2f5.jpg_400x400q75.jpg_.webp,2,2,26% Off,"5 Đã bán
(4)
Hồ Chí Minh",lazada,computerandlaptop,computer,2,0
"【brand new】All-in-one PC intel Core i3/i5/i7 ram 8GB/16GB memory 24""FHD/W10/W11+MS Office AIO desktop computer PC System unit pc computador gaming pcs gamer Monoblock Gaming pc Dual 3W speaker WIFI/BT Warranty 2 years",9.680.740 ₫,https://www.lazada.vn/products/brand-newall-in-one-pc-intel-core-i3i5i7-ram-8gb16gb-memory-24fhdw10w11ms-office-aio-desktop-computer-pc-system-unit-pc-computador-gaming-pcs-gamer-monoblock-gaming-pc-dual-3w-speaker-wifibt-warranty-2-years-i2329784606.html,https://img.lazcdn.com/g/p/b9235801baef3295ddb01d37774e623d.jpg_400x400q75.jpg_.webp,3,3,34% Off,Hồ Chí Minh,lazada,computerandlaptop,computer,3,0
"Case máy tính đồng bộ DELL OPTIPLEX 3040 SFF Core i3 6100 | RAM 8GB | ổ cứng SSD 256GB. Hàng Nhập Khẩu, Bảo hành 12 tháng 1 đổi 1",2.513.000 ₫,https://www.lazada.vn/products/case-may-tinh-dong-bo-dell-optiplex-3040-sff-core-i3-6100-ram-8gb-o-cung-ssd-256gb-hang-nhap-khau-bao-hanh-12-thang-1-doi-1-i272156252.html,https://img.lazcdn.com/g/p/fa41a4a8eca32acd061ae9d74ea80dc5.png_400x400q75.png_.webp,4,4,24% Off,"6 Đã bán
(2)
Hà Nội",lazada,computerandlaptop,computer,4,0
Thùng máy tính để bàn DELL Optiplex 790 Core i5 2400 - 2300 - 2320 | Ram 8GB | SSD 120GB. Hàng Nhập Khẩu Like new,1.565.000 ₫,https://www.lazada.vn/products/thung-may-tinh-de-ban-dell-optiplex-790-core-i5-2400-2300-2320-ram-8gb-ssd-120gb-hang-nhap-khau-like-new-i217426544.html,https://img.lazcdn.com/g/p/252fdbe2ba9f13bac2a2de4bd4f1cfb0.jpg_400x400q75.jpg_.webp,5,5,37% Off,"32 Đã bán
(13)
Hà Nội",lazada,computerandlaptop,computer,5,0
Máy tính để bàn Tyni Dell optiplex 3050 Core i7 / i5 - Nhiều Cấu hình,3.450.000 ₫,https://www.lazada.vn/products/may-tinh-de-ban-tyni-dell-optiplex-3050-core-i7-i5-nhieu-cau-hinh-i2344635649.html,https://img.lazcdn.com/g/p/9ad48ecc831beb31c03c706136a78d29.png_400x400q75.png_.webp,6,6,31% Off,"(1)
Hà Nội",lazada,computerandlaptop,computer,6,1
Lenovo OEM 2024 Mistme bộ pc gaming full bộ Máy tính all in one desktop mini pc Tất cả trong một Văn phòng tại nhà Màn hình máy tính 23.8 inch/27-inch curved screen cpu máy tính intel Core I7 pc set RAM 8GB/16GB DDR4 512GB SSD,7.999.999 ₫,https://www.lazada.vn/products/lenovo-oem-2024-mistme-bo-pc-gaming-full-bo-may-tinh-all-in-one-desktop-mini-pc-tat-ca-trong-mot-van-phong-tai-nha-man-hinh-may-tinh-238-inch27-inch-curved-screen-cpu-may-tinh-intel-core-i7-pc-set-ram-8gb16gb-ddr4-512gb-ssd-i1798903682.html,https://img.lazcdn.com/g/p/be8f23f2f2fea213bd7afeeb296c04db.jpg_400x400q75.jpg_.webp,7,7,31% Off,"142 Đã bán
(65)
Hồ Chí Minh",lazada,computerandlaptop,computer,7,0
"Máy tính để bàn đồng bộ HP 600G1/ H81 Core i7 4th | Ram 16GB | SSD240 Minh Công ổn định,bền bỉ,nhỏ gọn | Tặng USB WIFI",1.750.000 ₫,https://www.lazada.vn/products/may-tinh-de-ban-dong-bo-hp-600g1-h81-core-i7-4th-ram-16gb-ssd240-minh-cong-on-dinhben-binho-gon-tang-usb-wifi-i2214315303.html,https://img.lazcdn.com/g/p/2e1cb4372b752a199988094cecd92ecc.png_400x400q75.png_.webp,8,8,35% Off,"44 Đã bán
(10)
Hà Nội",lazada,computerandlaptop,computer,8,0
CASE máy tính all in one DELL OPTIPLEX 5270 aio ( case liền màn ) LIKE NEW - FULL BOX,8.450.000 ₫,https://www.lazada.vn/products/case-may-tinh-all-in-one-dell-optiplex-5270-aio-case-lien-man-like-new-full-box-i2556557654.html,https://img.lazcdn.com/g/p/a769cc715d1714fb8363dcab67063e91.jpg_400x400q75.jpg_.webp,9,9,19% Off,"(1)
Hà Nội",lazada,computerandlaptop,computer,9,0
[Trả góp 0%]Case máy tính đồng bộ DELL Optiplex 3020 Intel Core i3-4150 ram 8GB Ổ cứng SSD 120GB+HDD 500GB Tặng USB Thu Wifi Bảo hành 12 tháng,2.446.350 ₫,https://www.lazada.vn/products/tra-gop-0case-may-tinh-dong-bo-dell-optiplex-3020-intel-core-i3-4150-ram-8gb-o-cung-ssd-120gbhdd-500gb-tang-usb-thu-wifi-bao-hanh-12-thang-i1306431132.html,https://img.lazcdn.com/3rd/q/aHR0cHM6Ly9pLmltZ3VyLmNvbS9IUGowWFFTLmpwZw==_400x400q75.png_.webp,10,10,44% Off,Hà Nội,lazada,computerandlaptop,computer,10,0
