title,price,link_item,image_url,index_,countReviews,type,category,subcategory
Dell latitude e7290 12.5'' core i5 3.60ghz 8g 256g ssd,4.500.000 ₫,https://muathongminh.vn/laptop-mong-nhe-dell-latitude-e7290-125-core-i5-360ghz-8g-256g-ssd-mau-den-p.1__1202223050__71919748,https://lh3.googleusercontent.com/mvI9jsrKjP7Q7ZqYOXuJTRZF9Q1e4PZJjjmNAyzh6OKtxtSUNPK920MMFsXploU60VPMqHCdJLEMzaEF_ktvIXuII2IEamnw0Cr5Cb97_803ePqQQYOLtHQLrVUe9e2DPZ3MoxTp,1,(105),shopee,computerandlaptop,computer
Khay Cady Bay 2.5 Mỏng/Dày lắp cho laptop,52.000 ₫,https://muathongminh.vn/khay-cady-bay-25-mongday-lap-cho-laptop-p.1__1599543025__22330744,https://cf.shopee.vn/file/vn-11134207-7r98o-lt8qbay7agg49b_tn,2,(102),shopee,computerandlaptop,computer
Laptop sinh viên HP rẻ nhất!!!,1.599.999 ₫,https://muathongminh.vn/qua-re-laptop-sinh-vien-hp-re-nhat-p.1__2006540791__90212747,https://lh3.googleusercontent.com/mvI9jsrKjP7Q7ZqYOXuJTRZF9Q1e4PZJjjmNAyzh6OKtxtSUNPK920MMFsXploU60VPMqHCdJLEMzaEF_ktvIXuII2IEamnw0Cr5Cb97_803ePqQQYOLtHQLrVUe9e2DPZ3MoxTp,3,(100),shopee,computerandlaptop,computer
"Laptop cũ rẻ các hãng ram 8gb/ssd core i5 - i7 : dell , hp .asus ... máy đẹp đủ sạc . dùng full chức năng bh 3 tháng",3.799.000 ₫,https://muathongminh.vn/laptop-cu-re-cac-hang-ram-8gbssd-core-i5-i7-dell-hp-asus-may-dep-du-sac-dung-full-chuc-nang-bh-3-tha-p.1__23209200495__70767803,https://cf.shopee.vn/file/79dd42fca0a25eb8853377db0b683399_tn,4,(99),shopee,computerandlaptop,computer
"Laptop cũ rẻ asus x553ma trắng mỏng nhẹ ram 4g_ổ 500g_màn 15.6 làm văn phòng, học tập mượt mà. tặng đầy đủ phụ kiện",4.100.000 ₫,https://muathongminh.vn/laptop-cu-re-asus-x553ma-trang-mong-nhe-ram-4go-500gman-156-lam-van-phong-hoc-tap-muot-ma-tang-day-d-p.1__3109356630__71172030,https://lh3.googleusercontent.com/mvI9jsrKjP7Q7ZqYOXuJTRZF9Q1e4PZJjjmNAyzh6OKtxtSUNPK920MMFsXploU60VPMqHCdJLEMzaEF_ktvIXuII2IEamnw0Cr5Cb97_803ePqQQYOLtHQLrVUe9e2DPZ3MoxTp,5,(99),shopee,computerandlaptop,computer
Laptop core 2 duo các hãng | ram 3gb | màn hình 14in - 15.6in | máy zin - laptop.phuongvu,625.000 ₫,https://muathongminh.vn/laptop-core-2-duo-cac-hang-ram-3gb-man-hinh-14in-156in-may-zin-laptopphuongvu-p.1__5033609666__205036610,https://cf.shopee.vn/file/vn-11134207-7r98o-lm07qfj3q09rfb_tn,6,(98),shopee,computerandlaptop,computer
Laptop cũ rẻ asus x553ma trắng mỏng nhẹ ram 8g ssd màn to pin trâu trắng đẹp keeng,2.888.888 ₫,https://muathongminh.vn/laptop-cu-re-asus-x553ma-trang-mong-nhe-ram-8g-ssd-man-to-pin-trau-trang-dep-keeng-p.1__5106012507__33135515,https://lh3.googleusercontent.com/mvI9jsrKjP7Q7ZqYOXuJTRZF9Q1e4PZJjjmNAyzh6OKtxtSUNPK920MMFsXploU60VPMqHCdJLEMzaEF_ktvIXuII2IEamnw0Cr5Cb97_803ePqQQYOLtHQLrVUe9e2DPZ3MoxTp,7,(98),shopee,computerandlaptop,computer
Máy tính Microsoft Surface pro 3,4.099.000 ₫,https://muathongminh.vn/may-tinh-microsoft-surface-pro-3-p.1__6401064377__61803166,https://cf.shopee.vn/file/sg-11134201-22120-yahwv4h7vpkv98_tn,8,(95),shopee,computerandlaptop,computer
Xả laptop toshiba z30 corei5-6200u / ram8 /ssd 256,4.800.000 ₫,https://muathongminh.vn/xa-laptop-toshiba-z30-corei5-6200u-ram8-ssd-256-p.1__20759245394__476971834,https://lh3.googleusercontent.com/mvI9jsrKjP7Q7ZqYOXuJTRZF9Q1e4PZJjjmNAyzh6OKtxtSUNPK920MMFsXploU60VPMqHCdJLEMzaEF_ktvIXuII2IEamnw0Cr5Cb97_803ePqQQYOLtHQLrVUe9e2DPZ3MoxTp,9,(95),shopee,computerandlaptop,computer
"Laptop giá rẻ, hợp túi tiền, ram 4gb - 8gb nhiều hãng",980.000 ₫,https://muathongminh.vn/laptop-gia-re-hop-tui-tien-ram-4gb-8gb-nhieu-hang-p.1__4058134032__324557412,https://cf.shopee.vn/file/7a269d44ec3d2f614a7850ba5b1a6460_tn,10,(95),shopee,computerandlaptop,computer
